Neighbourhood,Population_2016,Employment_Rate,Employment_Rate_Male,Employment_Rate_Female,Low_Income_Pct
Rosedale-Moore Park,"20,923",60.1,67.4,53.9,10.2
Rouge,"46,496",59.4,63.6,55.5,9.5
Runnymede-Bloor West Village,"10,070",69,70.8,67.3,6.9
Rustic,"9,941",47.8,51.3,45.1,31.7
Scarborough Village,"16,724",50.2,53.5,47.3,32.4
South Parkdale,"21,849",64.7,65.7,63.6,30.5
South Riverdale,"27,876",66.8,68.9,64.7,18.7
St.Andrew-Windfields,"17,812",56.3,61.5,51.8,15.9
Steeles,"24,623",47.3,52.6,42.7,21
Stonegate-Queensway,"25,051",63,67.4,58.7,11.6
Tam O'Shanter-Sullivan,"27,446",50.7,56.9,45.2,23.8
Taylor-Massey,"15,683",56.1,64.3,48.3,32.9
The Beaches,"21,567",68,71.1,65.2,9.4
Thistletown-Beaumond Heights,"10,360",54.1,58.8,49.5,17.8
Thorncliffe Park,"21,108",48.6,61,37.1,45.5
Trinity-Bellwoods,"16,556",65.1,66.9,63.6,14.7
University,"7,607",65.5,66.8,64.1,22.4
Victoria Village,"17,510",53.2,58.3,49,25.9
Waterfront Communities-The Island,"65,913",78.2,82.3,74,16.5
West Hill,"27,392",51.7,54.4,49.3,25.2
West Humber-Clairville,"33,312",58,62.3,53.8,15.8
Westminster-Branson,"26,274",56.2,61.7,51.6,24.4
Weston,"17,992",55.5,60.2,51.3,29.6
Weston-Pelham Park,"11,098",58,60.3,55.7,20.4
Wexford/Maryvale,"27,917",55.9,61,51.3,19.2
Willowdale East,"50,434",55.9,61.6,50.9,30.3
Willowdale West,"16,936",52.2,58.4,47,27.1
Willowridge-Martingrove-Richview,"22,156",53.5,59.6,48.2,15
Woburn,"53,485",51.9,58,46.2,27.2
Woodbine Corridor,"12,541",66.4,67.2,65.5,15.8
Woodbine-Lumsden,"7,865",65.5,68.6,62.5,15.2
Wychwood,"14,349",65.6,68.9,62.8,16.7
Yonge-Eglinton,"11,817",68.2,72.6,64.3,12
Yonge-St.Clair,"12,528",65.2,72.5,59.6,12.9
York University Heights,"27,593",56.3,60.8,51.8,24.4
Yorkdale-Glen Park,"14,804",55.3,59,51.9,16.8
Characteristic_Clean,"Population, 2016",Employment rate,Employment rate (Males),Employment rate (Females),"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)"
