Neighbourhood,Population,Participation_Rate,Employment_Rate,Unemployment_Rate,Bachelors_Degree,No_Diploma,Immigrant_Population,Visible_Minority,Renters,Core_Housing_Need,Unaffordable_Housing,Lone_Parent_Families,Low_Income_AfterTax_Pct
Islington-City Centre West,43965,68.6,63.6,7.3,9970,8415,19590,16035,8105,3470,33.0,2305,15.8
Junction Area,14366,74.1,69.9,5.6,3250,2510,4550,4160,2460,1035,32.6,695,13.5
Keelesdale-Eglinton West,11058,59.9,54.7,8.6,835,2675,6185,4700,1610,1065,36.0,715,18.3
Kennedy Park,17123,59.4,54.0,9.1,2035,4410,9465,11885,2980,1840,35.5,1310,26.3
Kensington-Chinatown,17945,62.6,57.5,8.2,4070,4205,7615,10520,6200,2200,47.9,860,33.2
Kingsview Village-The Westway,22000,57.8,52.1,9.9,2540,5505,11425,13130,3735,2175,35.1,1770,24.9
Kingsway South,9271,63.2,58.6,7.5,2605,1290,1960,1100,660,175,19.8,265,4.5
Lambton Baby Point,7985,66.8,61.8,7.6,1660,1215,2410,1950,1280,630,23.9,510,18.5
L'Amoreaux,43993,56.6,50.4,10.9,6920,10555,28325,33540,5205,4265,37.9,2850,23.5
Lansing-Westgate,16164,67.4,62.5,7.2,4400,2740,7075,6930,2740,970,38.5,680,17.6
Lawrence Park North,14607,70.4,65.9,6.4,4140,1745,3340,3110,1315,500,22.4,490,6.7
Lawrence Park South,15179,68.2,63.1,7.5,4315,1815,3180,2560,1750,490,22.8,470,7.3
Leaside-Bennington,16828,68.5,63.7,6.9,4665,2350,3375,2935,1800,740,22.0,600,6.9
Little Portugal,15559,78.0,73.0,6.4,4010,2775,4835,4265,4145,1280,42.1,620,15.6
Long Branch,10084,70.6,65.6,7.1,1735,2340,3445,2305,2575,1085,35.4,595,17.6
Malvern,43794,62.0,55.5,10.5,5465,11575,26900,39195,4020,3485,35.7,3150,20.4
Maple Leaf,10111,61.4,56.5,8.1,1310,2380,5245,4300,1560,820,28.3,640,15.2
Markland Wood,10554,59.8,56.1,6.2,2390,2255,3890,1395,1105,660,24.5,495,8.3
Milliken,26572,54.5,49.3,9.5,3700,7115,18265,25165,860,2010,38.8,1590,22.1
Mimico (includes Humber Bay Shores),33964,70.9,66.6,6.2,7560,6410,13425,10395,8635,3420,39.8,1610,18.2
Morningside,17455,61.3,54.4,11.4,2255,4345,9495,12865,2345,1495,35.7,1200,23.8
Moss Park,20506,72.4,67.5,6.9,5480,3415,6470,7860,7630,2520,39.9,720,31.9
Mount Dennis,13593,63.6,56.6,10.8,1045,3385,7430,9005,2740,1770,41.2,1340,25.3
Mount Olive-Silverstone-Jamestown,32954,57.4,50.4,12.1,3015,7785,21500,28455,5455,3550,37.4,2535,27.9
Mount Pleasant East,16775,70.5,65.7,6.9,4720,2280,4510,3825,3230,1100,29.4,615,10.3
Mount Pleasant West,29658,74.5,69.5,6.7,9275,4475,11295,9730,13070,3440,41.7,1135,20.8
New Toronto,11463,66.7,60.9,8.7,1990,2505,3970,3615,3040,1380,39.4,780,24.8
Newtonbrook East,16097,57.9,52.8,8.8,4290,3005,9945,11215,2155,1275,48.0,705,27.4
Newtonbrook West,23831,59.7,54.7,8.4,5030,5515,15665,13825,4250,2345,46.3,1355,26.3
Niagara,31180,86.6,82.7,4.5,11835,3805,8995,10665,9395,2040,38.3,885,13.7
North Riverdale,11916,73.5,69.6,5.3,3030,1850,2925,2815,2205,770,26.1,490,10.9
North St. James Town,18615,67.5,60.4,10.4,4010,3805,9485,12270,8610,3190,44.0,945,36.5
Oakridge,13845,57.2,48.8,14.6,1660,3020,7520,10250,3595,2230,43.4,845,42.6
Oakwood Village,21210,65.7,61.2,6.8,3270,4175,9965,9045,4085,2430,36.7,1425,18.6
O'Connor-Parkview,18675,62.2,56.0,10.1,2735,4240,6890,6975,4005,2035,38.0,1250,22.5
Old East York,9233,66.0,62.9,5.0,1685,1930,3025,2470,1320,680,28.9,485,13.5
Palmerston-Little Italy,13826,74.2,69.1,6.8,3805,2410,4100,2950,3715,1060,37.8,485,13.8
Parkwoods-Donalda,34805,63.1,57.3,9.2,6105,7660,17210,19075,8020,3255,37.1,2560,20.6
Pelmo Park-Humberlea,10722,65.4,61.5,6.0,1220,2635,4930,4675,645,640,31.4,675,11.4
Playter Estates-Danforth,7804,72.1,67.6,6.4,1980,1190,1795,1560,1920,730,37.2,270,13.6
Pleasant View,15818,59.0,53.1,10.0,3090,3495,9765,10155,1340,995,32.7,855,17.5
Princess-Rosethorn,11051,63.3,59.5,6.0,2755,2005,3360,2105,595,330,19.3,405,7.2
Regent Park,10803,62.6,56.6,9.6,2060,2335,5015,7470,3700,1340,39.4,720,42.3
Rexdale-Kipling,10529,62.8,55.9,10.9,1185,2675,4975,5365,1685,935,30.7,785,18.6
Rockcliffe-Smythe,22246,59.8,54.3,9.2,1930,5470,11020,10225,3920,2485,35.2,1740,22.8
Roncesvalles,14974,71.7,66.9,6.7,3435,2725,4395,3795,3885,1580,37.8,610,19.9
Rosedale-Moore Park,20923,63.9,60.1,6.0,6010,2870,5495,3740,4485,1010,30.4,595,10.2
Rouge,46496,64.7,59.4,8.2,6765,11740,25575,37315,2205,1870,29.3,2470,9.5
Runnymede-Bloor West Village,10070,72.6,69.0,5.1,2455,1385,2335,1600,815,350,21.1,395,6.9
Rustic,9941,52.4,47.8,9.1,585,2420,5105,5810,2265,1285,33.3,1155,31.7
Scarborough Village,16724,57.7,50.2,13.0,1810,3785,8975,12065,3235,2275,41.4,1315,32.4
South Parkdale,21849,70.7,64.7,8.6,4210,4520,8920,9920,9865,4085,49.1,1140,30.5
South Riverdale,27876,71.4,66.8,6.5,6305,4820,8210,11225,4840,2000,31.0,1375,18.7
St.Andrew-Windfields,17812,61.5,56.3,8.3,4200,3135,8835,8940,2140,870,33.9,870,15.9
Steeles,24623,52.2,47.3,9.5,4320,6235,17440,22075,1260,1970,37.4,1345,21.0
Stonegate-Queensway,25051,67.5,63.0,6.7,5335,4565,8635,4595,3665,1715,27.4,1175,11.6
Tam O'Shanter-Sullivan,27446,55.8,50.7,9.1,4830,6350,16725,20325,4390,2895,38.0,1635,23.8
Taylor-Massey,15683,63.3,56.1,11.5,2435,3065,8705,10355,4215,2460,44.2,895,32.9
The Beaches,21567,72.2,68.0,5.7,5705,3420,4225,2980,3540,1255,28.5,900,9.4
Thistletown-Beaumond Heights,10360,60.3,54.1,10.4,1175,2340,5465,6510,1245,800,32.4,695,17.8
Thorncliffe Park,21108,55.7,48.6,12.6,3125,4015,13270,16495,6335,3090,50.0,870,45.5
Trinity-Bellwoods,16556,69.4,65.1,6.1,3515,3275,5810,4820,3305,1200,36.0,700,14.7
University,7607,71.5,65.5,8.3,1965,1190,2015,2205,2125,580,46.5,220,22.4
Victoria Village,17510,59.2,53.2,10.1,2630,3780,9185,10155,4350,2230,38.1,1290,25.9
Waterfront Communities-The Island,65913,82.4,78.2,5.2,27280,8340,23820,28895,23930,4400,40.5,1685,16.5
West Hill,27392,58.5,51.7,11.6,3015,6425,13345,17075,4055,2830,32.4,2350,25.2
West Humber-Clairville,33312,64.1,58.0,9.6,4245,8510,19230,26945,3275,1985,31.7,1960,15.8
Westminster-Branson,26274,61.8,56.2,9.2,5195,5540,18155,11715,6165,3465,46.0,1735,24.4
Weston,17992,62.1,55.5,10.6,1705,4180,8690,10755,4795,2730,42.6,1630,29.6
Weston-Pelham Park,11098,63.3,58.0,8.5,1130,2590,5370,4210,1750,1000,30.8,765,20.4
Wexford/Maryvale,27917,61.5,55.9,9.0,3770,7240,13905,15285,4015,2435,32.7,1775,19.2
Willowdale East,50434,61.1,55.9,8.5,15435,8580,31040,37715,8505,3525,49.9,2345,30.3
Willowdale West,16936,57.9,52.2,9.8,4700,3140,9390,9630,2755,1380,45.8,640,27.1
Willowridge-Martingrove-Richview,22156,58.5,53.5,8.5,3655,5205,10030,8870,3925,1780,31.2,1365,15.0
Woburn,53485,58.0,51.9,10.6,7575,13170,30185,40510,8670,5335,35.9,3460,27.2
Woodbine Corridor,12541,71.9,66.4,7.7,2795,2065,2935,3380,2275,995,28.7,685,15.8
Woodbine-Lumsden,7865,70.2,65.5,6.6,1435,1760,2190,2435,1095,695,32.0,430,15.2
Wychwood,14349,69.2,65.6,5.2,2770,2285,4345,3635,3040,1280,35.4,745,16.7
Yonge-Eglinton,11817,73.2,68.2,6.9,3625,1430,3180,3155,3480,825,34.1,425,12.0
Yonge-St.Clair,12528,69.4,65.2,5.9,3720,1820,3580,2555,4315,1045,36.1,395,12.9
York University Heights,27593,63.0,56.3,10.7,3910,6980,15595,19135,5565,2895,40.1,2080,24.4
Yorkdale-Glen Park,14804,60.1,55.3,8.0,1595,3385,7265,6340,2045,1050,30.9,1000,16.8
