Neighbourhood,Population,Participation_Rate,Employment_Rate,Unemployment_Rate,Core_Housing_Need,Unaffordable_Housing,Low_Income_AfterTax_Pct,Bachelors_Degree_Pct,No_Diploma_Pct,Immigrant_Population_Pct,Visible_Minority_Pct,Renters_Pct,Lone_Parent_Families_Pct
Edenbridge-Humber Valley,15535,64.4,60.5,6.1,1165,30.3,10.5,20.308979723205663,20.43772127454136,38.30061152236885,20.791760540714517,17.669777920823947,5.3749597682652075
Eglinton East,22776,59.2,52.8,10.8,2570,35.7,26.0,11.305760449596065,24.784861257463998,57.077625570776256,76.28644186863364,19.121004566210047,8.451879171057254
Elms-Old Rexdale,9456,60.7,54.6,10.0,915,33.4,23.2,8.671742808798646,27.707275803722503,49.96827411167513,67.31175972927242,15.545685279187818,9.359137055837563
Englemount-Lawrence,22372,63.0,57.4,8.9,2235,36.4,21.3,16.67262649740747,19.39924906132666,43.737707849097085,39.58072590738423,21.433041301627036,6.391918469515466
Eringate-Centennial-West Deane,18588,63.6,58.9,7.4,900,22.8,9.7,18.076178179470624,22.72971809769744,44.06068431245965,27.5984506132989,5.675704755756402,5.702603830428233
Etobicoke West Mall,11848,65.7,60.5,7.9,1120,37.2,18.3,15.27683997299122,22.915259959486832,48.99561107359892,38.149898717083055,18.35752869682647,6.920999324780554
Flemingdon Park,21933,56.5,50.6,10.6,3085,44.8,34.7,14.886244471800483,22.11279806683992,63.96753750056992,78.51183148680072,19.764738065928054,6.223498837368349
Forest Hill North,12806,70.9,65.6,7.4,1235,35.8,15.5,23.543651413399967,17.10135873809152,38.848977042011555,27.87755739497111,28.033734187099796,4.451038575667656
Forest Hill South,10732,65.8,62.1,5.6,755,33.3,10.7,27.0219903093552,14.955273947074172,25.67089079388744,16.539321654863958,21.61759224748416,2.8419679463287366
Glenfield-Jane Heights,30491,55.0,48.7,11.5,3325,33.0,25.7,5.28024663015316,23.580728739628086,58.34508543504641,75.94044144173691,15.77514676461907,10.986848578268997
Greenwood-Coxwell,14417,69.1,64.2,7.2,1285,32.5,19.7,21.12089893875286,18.79725324269959,30.415481722965943,39.0164389262676,17.02850801137546,5.757092321564819
Guildwood,9917,59.5,54.7,7.9,510,23.8,7.7,17.99939497832006,22.436220631239287,31.561964303720885,28.94020369063225,9.125743672481597,5.394776646163154
Henry Farm,15723,65.2,58.5,10.3,1590,48.5,29.6,25.345035934618075,17.585702474082552,60.580041976722,76.51211600839535,25.50403866946511,4.960885327227628
High Park North,22162,72.2,67.1,7.1,2210,36.6,16.5,26.96056312607165,14.664741449327678,34.60878982041332,23.395902896850465,32.91670426856782,4.0158830430466566
High Park-Swansea,23925,73.3,68.9,6.0,1560,30.1,11.1,26.70846394984326,14.148380355276908,27.439916405433646,18.66248693834901,19.832810867293627,4.054336468129572
Highland Creek,12494,60.9,55.8,8.5,365,24.4,10.5,17.208259964783096,25.612293901072512,56.1469505362574,74.35569073155115,3.281575156074916,4.121978549703858
