Neighbourhood,Population,Participation_Rate,Employment_Rate,Unemployment_Rate,Bachelors_Degree,No_Diploma,Visible_Minority,Renters,Immigrant_Population,Lone_Parent_Families,Low_Income_AfterTax_Pct
University,7782.0,68.4,60.5,11.5,1320.0,650.0,2270.0,1955.0,2225.0,250.0,21.8
Victoria Village,17182.0,59.9,53.4,10.8,2000.0,2790.0,9395.0,4200.0,9005.0,1150.0,22.8
Waterfront Communities-The Island,43361.0,81.1,77.1,5.1,13825.0,1625.0,17440.0,13635.0,15710.0,1285.0,16.5
West Hill,26547.0,58.0,50.2,13.5,1875.0,4290.0,15835.0,3820.0,12840.0,2300.0,24.5
West Humber-Clairville,34100.0,64.3,58.0,10.0,2770.0,6175.0,26475.0,3055.0,19680.0,1935.0,14.3
Westminster-Branson,25446.0,61.8,56.2,9.1,2895.0,2555.0,8765.0,6040.0,17820.0,1690.0,25.9
Weston,18170.0,65.1,58.6,10.0,1060.0,4000.0,10380.0,4810.0,8615.0,1525.0,23.6
Weston-Pelham Park,12010.0,65.0,57.0,12.3,870.0,3730.0,4970.0,1810.0,6230.0,865.0,20.5
Wexford/Maryvale,27018.0,62.1,55.8,10.0,2510.0,4780.0,12810.0,3650.0,12840.0,1790.0,15.5
Willowdale East,45041.0,62.0,57.1,7.9,11115.0,2670.0,31405.0,6125.0,28535.0,2050.0,24.9
Willowdale West,15004.0,58.4,54.7,6.4,3025.0,1275.0,7410.0,2120.0,8365.0,600.0,19.3
Willowridge-Martingrove-Richview,21343.0,56.8,52.2,8.1,2420.0,3755.0,7910.0,3540.0,9700.0,1270.0,12.8
Woburn,53350.0,58.4,50.7,13.3,4780.0,9135.0,38720.0,8485.0,30500.0,3325.0,24.7
Woodbine Corridor,11703.0,72.0,66.9,7.0,2030.0,1410.0,3020.0,1955.0,3160.0,680.0,15.0
Woodbine-Lumsden,7826.0,65.7,60.2,8.4,1070.0,1110.0,2350.0,1100.0,2545.0,465.0,16.2
Wychwood,13986.0,66.7,61.6,7.6,2195.0,1970.0,3635.0,2830.0,4960.0,740.0,17.8
Yonge-Eglinton,10578.0,72.3,68.2,5.7,2350.0,495.0,1945.0,3155.0,2720.0,335.0,10.9
Yonge-St.Clair,11652.0,71.3,66.3,7.0,2990.0,335.0,1670.0,4155.0,3175.0,335.0,11.4
York University Heights,27713.0,59.3,52.6,11.4,2505.0,5495.0,17700.0,5665.0,15935.0,1950.0,25.9
Yorkdale-Glen Park,14687.0,59.7,53.6,10.2,1060.0,3625.0,6110.0,2280.0,7300.0,975.0,17.7
