Neighbourhood,Population,Participation_Rate,Employment_Rate,Unemployment_Rate,Bachelors_Degree_Pct,No_Diploma_Pct,Immigrant_Population_Pct,Visible_Minority_Pct,Renters_Pct,Core_Housing_Need,Unaffordable_Housing,Lone_Parent_Families_Pct,Low_Income_AfterTax_Pct,Cluster
East End-Danforth,21381,70.1,64.3,8.2,20.71933024648052,18.310649642205696,27.688134324867875,30.28389691782424,19.59683831439128,1970,31.2,5.706000654786961,18.8,0
Edenbridge-Humber Valley,15535,64.4,60.5,6.1,20.308979723205663,20.43772127454136,38.30061152236885,20.79176054071452,17.669777920823947,1165,30.3,5.374959768265208,10.5,0
Eglinton East,22776,59.2,52.8,10.8,11.305760449596065,24.784861257464,57.077625570776256,76.28644186863364,19.121004566210047,2570,35.7,8.451879171057254,26.0,1
Elms-Old Rexdale,9456,60.7,54.6,10.0,8.671742808798646,27.707275803722503,49.96827411167513,67.31175972927242,15.545685279187818,915,33.4,9.359137055837564,23.2,1
Englemount-Lawrence,22372,63.0,57.4,8.9,16.67262649740747,19.39924906132666,43.737707849097085,39.58072590738423,21.43304130162704,2235,36.4,6.391918469515466,21.3,1
Eringate-Centennial-West Deane,18588,63.6,58.9,7.4,18.076178179470624,22.72971809769744,44.06068431245965,27.5984506132989,5.675704755756402,900,22.8,5.702603830428233,9.7,0
Etobicoke West Mall,11848,65.7,60.5,7.9,15.27683997299122,22.915259959486832,48.99561107359892,38.149898717083055,18.35752869682647,1120,37.2,6.920999324780554,18.3,1
Flemingdon Park,21933,56.5,50.6,10.6,14.886244471800484,22.11279806683992,63.96753750056992,78.51183148680072,19.764738065928054,3085,44.8,6.223498837368349,34.7,1
Forest Hill North,12806,70.9,65.6,7.4,23.543651413399967,17.10135873809152,38.84897704201156,27.87755739497111,28.0337341870998,1235,35.8,4.451038575667656,15.5,2
Forest Hill South,10732,65.8,62.1,5.6,27.0219903093552,14.955273947074172,25.67089079388744,16.539321654863958,21.61759224748416,755,33.3,2.8419679463287366,10.7,0
Glenfield-Jane Heights,30491,55.0,48.7,11.5,5.28024663015316,23.58072873962809,58.34508543504641,75.94044144173691,15.77514676461907,3325,33.0,10.986848578268996,25.7,1
Greenwood-Coxwell,14417,69.1,64.2,7.2,21.12089893875286,18.79725324269959,30.415481722965943,39.0164389262676,17.02850801137546,1285,32.5,5.757092321564819,19.7,0
Guildwood,9917,59.5,54.7,7.9,17.99939497832006,22.436220631239287,31.561964303720885,28.94020369063225,9.125743672481596,510,23.8,5.394776646163154,7.7,0
Henry Farm,15723,65.2,58.5,10.3,25.345035934618075,17.585702474082552,60.580041976722,76.51211600839535,25.50403866946511,1590,48.5,4.960885327227628,29.6,1
High Park North,22162,72.2,67.1,7.1,26.96056312607165,14.664741449327678,34.60878982041332,23.395902896850465,32.91670426856782,2210,36.6,4.0158830430466566,16.5,2
High Park-Swansea,23925,73.3,68.9,6.0,26.70846394984326,14.148380355276908,27.43991640543365,18.66248693834901,19.832810867293627,1560,30.1,4.054336468129572,11.1,2
Highland Creek,12494,60.9,55.8,8.5,17.208259964783096,25.612293901072512,56.1469505362574,74.35569073155115,3.281575156074916,365,24.4,4.121978549703858,10.5,1
Hillcrest Village,16934,53.6,49.1,8.3,23.50301169245305,20.0779496870202,66.6410771229479,75.49899610251565,8.887445376166294,1385,35.5,5.550962560529113,21.9,1
Humber Heights-Westmount,10948,59.1,54.8,7.4,13.838143953233468,21.054073803434417,42.42784070149799,25.073072707343808,14.797223237120935,885,32.2,6.485202776762879,14.6,0
Humber Summit,12416,56.1,50.7,9.6,8.094394329896907,24.081829896907216,58.634020618556704,65.56056701030928,9.38305412371134,960,31.8,6.64465206185567,19.7,1
Humbermede,15545,60.7,54.6,10.2,8.813123190736572,24.605982631071083,60.72692183981988,77.00225152782245,15.439047925377936,1465,37.4,8.491476358957865,22.7,1
Humewood-Cedarvale,14365,73.7,68.5,7.1,24.39958231813436,15.4890358510268,32.439958231813435,28.50678733031674,29.516185172293767,1435,35.7,4.281239122868082,15.7,2
Ionview,13641,61.1,55.7,8.8,12.242504215233488,23.89854116267136,57.14390440583534,72.94186643207976,23.01884026097793,1525,33.5,7.953962319478045,23.3,1
Islington-City Centre West,43965,68.6,63.6,7.3,22.677129534857272,19.14022517911976,44.55817127260321,36.47219379051519,18.435118844535424,3470,33.0,5.242806778118958,15.8,2
Junction Area,14366,74.1,69.9,5.6,22.62285952944452,17.471808436586382,31.67200334122233,28.95726019768899,17.1237644438257,1035,32.6,4.837811499373521,13.5,0
Keelesdale-Eglinton West,11058,59.9,54.7,8.6,7.551094230421413,24.190631217218304,55.93235666485802,42.50316512931814,14.55959486344728,1065,36.0,6.4659070356303125,18.3,1
Kennedy Park,17123,59.4,54.0,9.1,11.884599661274308,25.754832681189043,55.276528645681246,69.40956608071016,17.403492378671963,1840,35.5,7.650528528879286,26.3,1
Kensington-Chinatown,17945,62.6,57.5,8.2,22.68041237113402,23.43271106157704,42.43521872387851,58.62357202563389,34.55001393145723,2200,47.9,4.792421287266648,33.2,1
Kingsview Village-The Westway,22000,57.8,52.1,9.9,11.545454545454543,25.022727272727277,51.93181818181818,59.68181818181818,16.977272727272727,2175,35.1,8.045454545454547,24.9,1
Kingsway South,9271,63.2,58.6,7.5,28.098371265235684,13.91435659583648,21.14119296731744,11.864955236759789,7.118973142055873,175,19.8,2.858375579764858,4.5,0
Lambton Baby Point,7985,66.8,61.8,7.6,20.78897933625548,15.216030056355669,30.181590482154043,24.42078897933625,16.030056355666876,630,23.9,6.386975579211021,18.5,0
L'Amoreaux,43993,56.6,50.4,10.9,15.72977519150774,23.99245334485032,64.38524310685791,76.2394017230014,11.831427727138408,4265,37.9,6.478303366444662,23.5,1
Lansing-Westgate,16164,67.4,62.5,7.2,27.220984904726556,16.951249690670625,43.770106409304624,42.87305122494432,16.951249690670625,970,38.5,4.2068794852759215,17.6,0
Lawrence Park North,14607,70.4,65.9,6.4,28.342575477510785,11.946327103443554,22.86574929828165,21.29116177175327,9.002533032107893,500,22.4,3.354556034777846,6.7,0
Lawrence Park South,15179,68.2,63.1,7.5,28.427432637196127,11.957309440674615,20.94999670597536,16.865406153238027,11.529086237565055,490,22.8,3.096383160946044,7.3,0
Leaside-Bennington,16828,68.5,63.7,6.9,27.721654385547893,13.964820537199904,20.0558592821488,17.44116947943903,10.696458283812692,740,22.0,3.565486094604231,6.9,0
Little Portugal,15559,78.0,73.0,6.4,25.77286457998586,17.835336461212158,31.07526190629218,27.41178738993509,26.640529597017803,1280,42.1,3.984831930072627,15.6,2
Long Branch,10084,70.6,65.6,7.1,17.20547401824673,23.205077350257834,34.16303054343515,22.8579928599762,25.53550178500595,1085,35.4,5.900436334787782,17.6,0
Malvern,43794,62.0,55.5,10.5,12.47887838516692,26.430561264100103,61.42393935242271,89.49856144677352,9.179339635566516,3485,35.7,7.192766132346897,20.4,1
Maple Leaf,10111,61.4,56.5,8.1,12.95618633171793,23.538720205716544,51.87419641974088,42.52793986747107,15.42874097517555,820,28.3,6.329739887251508,15.2,1
Markland Wood,10554,59.8,56.1,6.2,22.64544248626113,21.366306613606216,36.858063293538,13.21773735076748,10.469963994693956,660,24.5,4.690164866401365,8.3,0
Milliken,26572,54.5,49.3,9.5,13.92443173265091,26.776305885894924,68.73776908023484,94.70495258166493,3.2364895378594007,2010,38.8,5.9837422851121485,22.1,1
Mimico (includes Humber Bay Shores),33964,70.9,66.6,6.2,22.25886232481451,18.87292427275939,39.527146390295606,30.60593569661995,25.423978329996466,3420,39.8,4.740313272877164,18.2,2
Morningside,17455,61.3,54.4,11.4,12.91893440274993,24.892580922371813,54.397020910913774,73.70380979661988,13.434545975365223,1495,35.7,6.874820968203952,23.8,1
Moss Park,20506,72.4,67.5,6.9,26.72388569199259,16.653662342728957,31.551740953867164,38.33024480639813,37.20862186677071,2520,39.9,3.511167463181508,31.9,2
